               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  85,              1.2106,             0.52168,              1.1958,             0.92491,             0.96298,             0.95315,             0.55219,              1.3521,             0.49318,              1.1762,            0.001684,            0.001684,            0.001684
                  86,              1.2059,             0.52422,              1.1948,             0.97146,             0.93061,             0.95253,             0.55552,              1.3658,             0.49587,              1.1892,            0.001585,            0.001585,            0.001585
                  87,              1.1986,             0.51772,              1.1842,             0.97279,             0.93611,             0.95874,             0.55432,              1.3796,              0.4983,              1.1949,            0.001486,            0.001486,            0.001486
                  88,              1.1824,             0.51756,              1.1758,             0.97666,             0.93317,             0.96349,             0.55422,              1.3568,             0.49438,              1.1728,            0.001387,            0.001387,            0.001387
                  89,              1.1843,             0.51307,              1.1669,             0.94506,             0.96798,             0.96148,             0.55464,              1.3598,             0.49536,              1.1805,            0.001288,            0.001288,            0.001288
                  90,              1.1784,             0.51466,               1.159,             0.92235,             0.96872,             0.96289,             0.55431,              1.3696,             0.49534,              1.1917,            0.001189,            0.001189,            0.001189
                  91,              1.1655,             0.50394,              1.1589,             0.97664,             0.93039,             0.95693,             0.55885,              1.3542,             0.48738,              1.1965,             0.00109,             0.00109,             0.00109
                  92,              1.1644,             0.50741,              1.1718,             0.92154,             0.96929,             0.96097,             0.55327,              1.3709,             0.49313,              1.2018,            0.000991,            0.000991,            0.000991
                  93,              1.1513,             0.49604,              1.1629,              0.9765,             0.93094,             0.95033,             0.54919,              1.3661,             0.48972,              1.1968,            0.000892,            0.000892,            0.000892
                  94,              1.1388,              0.4985,              1.1427,             0.97459,             0.91851,               0.954,             0.55504,              1.3678,             0.49073,              1.2011,            0.000793,            0.000793,            0.000793
                  95,              1.1396,             0.49857,              1.1399,             0.94575,             0.96782,              0.9596,             0.55049,              1.3804,             0.49308,              1.2039,            0.000694,            0.000694,            0.000694
                  96,              1.1393,             0.49665,              1.1451,               0.914,             0.96903,             0.96089,             0.54796,              1.3706,             0.49337,              1.2106,            0.000595,            0.000595,            0.000595
                  97,              1.1263,             0.49388,              1.1432,             0.93768,             0.96815,             0.96131,             0.55052,              1.3771,             0.49072,              1.2139,            0.000496,            0.000496,            0.000496
                  98,              1.1219,             0.49302,              1.1345,             0.92382,             0.96807,             0.96133,              0.5503,              1.3745,             0.49153,              1.2134,            0.000397,            0.000397,            0.000397
                  99,               1.122,             0.49641,              1.1346,             0.93338,             0.96689,             0.95845,             0.54853,              1.3785,             0.49386,              1.2239,            0.000298,            0.000298,            0.000298
